Time;Channel B;Channel D
(ms);(V);(V)

-4,94114381;1,95727730;1,21598184
-4,94103981;2,00079966;1,19863439
-4,94093581;2,00079966;1,21598184
-4,94083181;2,00079966;1,19863439
-4,94072781;2,00079966;1,21598184
-4,94062381;2,00079966;1,19863439
-4,94051981;2,00079966;1,19863439
-4,94041581;2,00079966;1,21598184
-4,94031181;2,00079966;1,18128693
-4,94020781;2,00079966;1,19863439
-4,94010381;2,00079966;1,21598184
-4,93999981;2,04432201;1,19863439
-4,93989581;2,00079966;1,19863439
-4,93979181;2,00079966;1,19863439
-4,93968781;2,00079966;1,19863439
-4,93958381;2,04432201;1,19863439
-4,93947981;2,00079966;1,19863439
-4,93937581;2,00079966;1,19863439
-4,93927181;2,00079966;1,21598184
-4,93916781;2,00079966;1,19863439
-4,93906381;2,00079966;1,21598184
-4,93895981;2,00079966;1,19863439
-4,93885581;2,00079966;1,19863439
-4,93875181;2,00079966;1,19863439
-4,93864781;2,00079966;1,19863439
-4,93854381;2,00079966;1,19863439
-4,93843981;2,00079966;1,19863439
-4,93833581;2,00079966;1,19863439
-4,93823181;2,00079966;1,18128693
-4,93812781;2,00079966;1,18128693
-4,93802381;2,00079966;1,18128693
-4,93791981;2,00079966;1,18128693
-4,93781581;2,00079966;1,19863439
-4,93771181;2,00079966;1,18128693
-4,93760781;2,00079966;1,18128693
-4,93750381;2,00079966;1,18128693
-4,93739981;2,00079966;1,16387796
-4,93729581;2,04432201;1,18128693
-4,93719181;2,00079966;1,18128693
-4,93708781;2,04432201;1,16387796
-4,93698381;2,00079966;1,16387796
-4,93687981;2,04432201;1,16387796
-4,93677581;2,04432201;1,14653051
-4,93667181;2,00079966;1,16387796
-4,93656781;2,00079966;1,16387796
-4,93646381;2,04432201;1,16387796
-4,93635981;1,95727730;1,14653051
-4,93625581;2,00079966;1,16387796
-4,93615181;2,00079966;1,16387796
-4,93604781;2,00079966;1,14653051
-4,93594381;2,00079966;1,16387796
-4,93583981;2,00079966;1,16387796
-4,93573581;2,00079966;1,14653051
-4,93563181;2,00079966;1,14653051
-4,93552781;2,00079966;1,16387796
-4,93542381;1,95727730;1,16387796
-4,93531981;2,00079966;1,14653051
-4,93521581;2,00079966;1,16387796
-4,93511181;2,00079966;1,14653051
-4,93500781;2,00079966;1,16387796
-4,93490381;2,00079966;1,16387796
-4,93479981;2,00079966;1,12912154
-4,93469581;2,00079966;1,12912154
-4,93459181;2,00079966;1,16387796
-4,93448781;2,00079966;1,14653051
-4,93438381;2,00079966;1,14653051
-4,93427981;2,00079966;1,14653051
-4,93417581;2,00079966;1,14653051
-4,93407181;2,00079966;1,14653051
-4,93396781;2,00079966;1,14653051
-4,93386381;2,00079966;1,18128693
-4,93375981;2,00079966;1,14653051
-4,93365581;2,00079966;1,14653051
-4,93355181;2,00079966;1,16387796
-4,93344781;2,00079966;1,14653051
-4,93334381;2,00079966;1,14653051
-4,93323981;2,00079966;1,14653051
-4,93313581;2,00079966;1,16387796
-4,93303181;2,00079966;1,14653051
-4,93292781;2,00079966;1,16387796
-4,93282381;2,00079966;1,14653051
-4,93271981;2,00079966;1,14653051
-4,93261581;2,00079966;1,16387796
-4,93251181;2,00079966;1,16387796
-4,93240781;1,95727730;1,16387796
-4,93230381;2,00079966;1,16387796
-4,93219981;2,00079966;1,16387796
-4,93209581;2,00079966;1,18128693
-4,93199181;2,00079966;1,18128693
-4,93188781;2,00079966;1,18128693
-4,93178381;2,00079966;1,18128693
-4,93167981;2,00079966;1,18128693
-4,93157581;2,00079966;1,18128693
-4,93147181;2,00079966;1,18128693
-4,93136781;2,00079966;1,19863439
-4,93126381;2,04432201;1,21598184
-4,93115981;2,00079966;1,19863439
-4,93105581;2,00079966;1,19863439
-4,93095181;2,00079966;1,19863439
-4,93084781;2,00079966;1,19863439
-4,93074381;2,00079966;1,19863439
-4,93063981;2,00079966;1,21598184
-4,93053581;1,95727730;1,19863439
-4,93043181;2,00079966;1,19863439
-4,93032781;2,00079966;1,19863439
-4,93022381;2,04432201;1,21598184
-4,93011981;2,00079966;1,21598184
-4,93001581;2,00079966;1,21598184
-4,92991181;2,00079966;1,19863439
-4,92980781;2,00079966;1,21598184
-4,92970381;2,00079966;1,23339069
-4,92959981;2,00079966;1,23339069
-4,92949581;2,00079966;1,23339069
-4,92939181;2,04432201;1,21598184
-4,92928781;2,00079966;1,21598184
-4,92918381;2,04432201;1,21598184
-4,92907981;1,95727730;1,19863439
-4,92897581;2,00079966;1,23339069
-4,92887181;2,00079966;1,23339069
-4,92876781;2,00079966;1,21598184
-4,92866381;2,00079966;1,21598184
-4,92855981;2,00079966;1,25073814
-4,92845581;2,00079966;1,23339069
-4,92835181;2,00079966;1,21598184
-4,92824781;2,00079966;1,23339069
-4,92814381;2,00079966;1,21598184
-4,92803981;2,00079966;1,21598184
-4,92793581;2,00079966;1,23339069
-4,92783181;2,00079966;1,23339069
-4,92772781;2,00079966;1,21598184
-4,92762381;2,00079966;1,21598184
-4,92751981;2,00079966;1,21598184
-4,92741581;2,00079966;1,21598184
-4,92731181;2,00079966;1,21598184
-4,92720781;2,00079966;1,23339069
-4,92710381;2,00079966;1,19863439
-4,92699981;2,00079966;1,19863439
-4,92689581;2,00079966;1,19863439
-4,92679181;2,00079966;1,21598184
-4,92668781;2,00079966;1,18128693
-4,92658381;2,00079966;1,21598184
-4,92647981;2,00079966;1,19863439
-4,92637581;2,00079966;1,19863439
-4,92627181;2,00079966;1,18128693
-4,92616781;2,00079966;1,19863439
-4,92606381;2,00079966;1,21598184
-4,92595981;2,00079966;1,18128693
-4,92585581;2,04432201;1,18128693
-4,92575181;2,00079966;1,19863439
-4,92564781;2,00079966;1,16387796
-4,92554381;2,00079966;1,18128693
-4,92543981;2,00079966;1,18128693
-4,92533581;2,00079966;1,18128693
-4,92523181;2,00079966;1,18128693
-4,92512781;2,00079966;1,18128693
-4,92502381;2,00079966;1,16387796
-4,92491981;2,00079966;1,14653051
-4,92481581;2,00079966;1,18128693
-4,92471181;2,00079966;1,16387796
-4,92460781;2,04432201;1,16387796
-4,92450381;2,00079966;1,14653051
-4,92439981;2,00079966;1,16387796
-4,92429581;2,00079966;1,16387796
